Date,Clicks,Impressions,CTR,Position
2026-04-07,1,506,0.2%,34.7
2026-04-08,1,425,0.24%,39.9
2026-04-09,2,455,0.44%,33.8
2026-04-10,2,459,0.44%,35.8
2026-04-11,0,394,0%,39.7
2026-04-12,2,301,0.66%,37.4
2026-04-13,2,424,0.47%,36.3
2026-04-14,1,423,0.24%,42.6
2026-04-15,4,412,0.97%,34.2
2026-04-16,6,400,1.5%,35
2026-04-17,2,390,0.51%,33.4
2026-04-18,2,232,0.86%,29.5
2026-04-19,2,229,0.87%,23.8
2026-04-20,4,332,1.2%,23
2026-04-21,5,299,1.67%,24.4
2026-04-22,4,285,1.4%,25.5
2026-04-23,0,280,0%,24.3
2026-04-24,1,284,0.35%,24
2026-04-25,0,162,0%,23.3
2026-04-26,1,247,0.4%,25.2
2026-04-27,4,297,1.35%,22.8
2026-04-28,1,263,0.38%,23.5
2026-04-29,1,311,0.32%,24.2
2026-04-30,2,261,0.77%,21
2026-05-01,1,284,0.35%,24
2026-05-02,6,271,2.21%,25.5
2026-05-03,0,249,0%,26
2026-05-04,2,378,0.53%,22.2
2026-05-05,3,353,0.85%,21.4
2026-05-06,5,368,1.36%,25.2
2026-05-07,4,328,1.22%,23.8
2026-05-08,0,267,0%,22
2026-05-09,3,243,1.23%,26.5
2026-05-10,2,235,0.85%,23.8
2026-05-11,4,335,1.19%,26.6
2026-05-12,4,331,1.21%,29.9
2026-05-13,3,317,0.95%,24.5
2026-05-14,4,295,1.36%,31.2
2026-05-15,1,313,0.32%,30.2
2026-05-16,2,221,0.9%,34.5
2026-05-17,1,278,0.36%,37.6
2026-05-18,5,405,1.23%,31.5
2026-05-19,3,399,0.75%,32.8
2026-05-20,3,359,0.84%,32.1
2026-05-21,1,375,0.27%,32.3
2026-05-22,1,376,0.27%,32.6
2026-05-23,0,213,0%,35.4
2026-05-24,0,247,0%,42.5
2026-05-25,3,354,0.85%,36.1
2026-05-26,3,287,1.05%,39
2026-05-27,4,301,1.33%,38.5
2026-05-28,2,320,0.62%,35.1
2026-05-29,1,277,0.36%,35.1
2026-05-30,1,184,0.54%,36.4
2026-05-31,0,228,0%,34.1
2026-06-01,1,355,0.28%,38.8
2026-06-02,3,280,1.07%,36.6
2026-06-03,2,263,0.76%,39.2
2026-06-04,2,258,0.78%,37.4
2026-06-05,2,319,0.63%,21.6
2026-06-06,1,274,0.36%,43.8
2026-06-07,1,230,0.43%,46
2026-06-08,5,325,1.54%,36.3
2026-06-09,2,330,0.61%,31.1
2026-06-10,0,326,0%,28.4
2026-06-11,2,294,0.68%,28.6
2026-06-12,2,228,0.88%,35.7
2026-06-13,0,193,0%,38.8
2026-06-14,0,190,0%,40.5
2026-06-15,1,367,0.27%,39.4
2026-06-16,0,312,0%,33.9
2026-06-17,1,326,0.31%,31.9
2026-06-18,2,351,0.57%,22
2026-06-19,1,207,0.48%,29.1
2026-06-20,1,190,0.53%,26.7
2026-06-21,1,216,0.46%,30.8
2026-06-22,0,256,0%,24.7
2026-06-23,0,305,0%,27.3
2026-06-24,2,278,0.72%,28.2
2026-06-25,1,326,0.31%,26.5
2026-06-26,2,242,0.83%,31.5
2026-06-27,0,214,0%,32
2026-06-28,1,203,0.49%,36.2
2026-06-29,4,351,1.14%,25.2
2026-06-30,2,327,0.61%,29
2026-07-01,6,365,1.64%,29.9
2026-07-02,1,369,0.27%,19.6
2026-07-03,1,252,0.4%,27.5
2026-07-04,0,190,0%,29.1
2026-07-05,0,224,0%,30.6
2026-07-06,4,314,1.27%,27.3
2026-07-07,2,341,0.59%,26.1
2026-07-08,3,434,0.69%,30.2
2026-07-09,3,349,0.86%,25.7
2026-07-10,4,245,1.63%,25.4
2026-07-11,2,167,1.2%,28.7
2026-07-12,2,258,0.78%,24.3
2026-07-13,3,320,0.94%,26.1
2026-07-14,7,270,2.59%,28.1
2026-07-15,2,239,0.84%,23.7
2026-07-16,3,306,0.98%,23.4
2026-07-17,3,218,1.38%,22.7
2026-07-18,0,164,0%,27.2
2026-07-19,0,167,0%,25.3
2026-09-09,6,568,1.06%,12.3
2026-09-10,7,495,1.41%,9
2026-09-11,2,386,0.52%,10.4
